series,hop1_prob,hop1_ci_lo,hop1_ci_hi,hop1_succ,hop1_tested,hop1_n_evals,hop2_prob,hop2_ci_lo,hop2_ci_hi,hop2_succ,hop2_tested,hop2_n_evals,hop3_prob,hop3_ci_lo,hop3_ci_hi,hop3_succ,hop3_tested,hop3_n_evals,hop4_prob,hop4_ci_lo,hop4_ci_hi,hop4_succ,hop4_tested,hop4_n_evals,hop5_prob,hop5_ci_lo,hop5_ci_hi,hop5_succ,hop5_tested,hop5_n_evals,avg_prob,avg_ci_lo,avg_ci_hi,avg_succ,avg_tested
"""gemini""",0.8083,0.7288,0.8688,97,120,4,0.6167,0.5273,0.6988,74,120,4,0.6833,0.5955,0.7598,82,120,4,0.7083,0.6216,0.7822,85,120,4,0.6833,0.5955,0.7598,82,120,4,0.7000,0.6622,0.7353,420,600
"""haiku""",0.6083,0.5189,0.6910,73,120,4,0.4917,0.4039,0.5800,59,120,4,0.5000,0.4119,0.5881,60,120,4,0.4333,0.3481,0.5227,52,120,4,0.5750,0.4856,0.6598,69,120,4,0.5217,0.4817,0.5614,313,600
"""gpt54""",0.5333,0.4444,0.6202,64,120,4,0.3750,0.2935,0.4642,45,120,4,0.3750,0.2935,0.4642,45,120,4,0.4083,0.3246,0.4978,49,120,4,0.3417,0.2629,0.4303,41,120,4,0.4067,0.3681,0.4464,244,600
"""deepseek""",0.8583,0.7848,0.9096,103,120,4,0.7364,0.6471,0.8097,81,110,4,0.7000,0.5987,0.7849,63,90,4,0.6083,0.5189,0.6910,73,120,4,0.6083,0.5189,0.6910,73,120,4,0.7018,0.6626,0.7382,393,560
"""qwen35""",0.9333,0.8739,0.9658,112,120,4,0.3667,0.2858,0.4558,44,120,4,0.5750,0.4856,0.6598,69,120,4,0.5000,0.4119,0.5881,60,120,4,0.5667,0.4773,0.6519,68,120,4,0.5883,0.5485,0.6270,353,600
"""qwen36""",0.2917,0.2178,0.3784,35,120,4,0.2353,0.1681,0.3190,28,119,4,0.2417,0.1739,0.3255,29,120,4,0.1250,0.0772,0.1960,15,120,4,0.1500,0.0970,0.2247,18,120,4,0.2087,0.1780,0.2430,125,599
"""geminipro""",0.0083,0.0015,0.0457,1,120,4,0.0000,0.0000,0.0318,0,117,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0017,0.0003,0.0094,1,597
"""sonnet""",0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0064,0,600
