series,hop1_prob,hop1_ci_lo,hop1_ci_hi,hop1_succ,hop1_tested,hop1_n_evals,hop2_prob,hop2_ci_lo,hop2_ci_hi,hop2_succ,hop2_tested,hop2_n_evals,hop3_prob,hop3_ci_lo,hop3_ci_hi,hop3_succ,hop3_tested,hop3_n_evals,hop4_prob,hop4_ci_lo,hop4_ci_hi,hop4_succ,hop4_tested,hop4_n_evals,hop5_prob,hop5_ci_lo,hop5_ci_hi,hop5_succ,hop5_tested,hop5_n_evals,avg_prob,avg_ci_lo,avg_ci_hi,avg_succ,avg_tested
"""geminipro_empty""",0.1750,0.1174,0.2528,21,120,4,0.1667,0.1106,0.2435,20,120,4,0.2773,0.2048,0.3637,33,119,4,0.2500,0.1811,0.3344,30,120,4,0.2833,0.2104,0.3697,34,120,4,0.2304,0.1984,0.2658,138,599
"""sonnet_empty""",0.0000,0.0000,0.0313,0,119,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0310,0,120,4,0.0000,0.0000,0.0064,0,599
