series,hop1_prob,hop1_ci_lo,hop1_ci_hi,hop1_succ,hop1_tested,hop1_n_evals,hop2_prob,hop2_ci_lo,hop2_ci_hi,hop2_succ,hop2_tested,hop2_n_evals,hop3_prob,hop3_ci_lo,hop3_ci_hi,hop3_succ,hop3_tested,hop3_n_evals,hop4_prob,hop4_ci_lo,hop4_ci_hi,hop4_succ,hop4_tested,hop4_n_evals,hop5_prob,hop5_ci_lo,hop5_ci_hi,hop5_succ,hop5_tested,hop5_n_evals,avg_prob,avg_ci_lo,avg_ci_hi,avg_succ,avg_tested
"gitwrap",0.5595,0.5117,0.6063,235,420,14,0.3214,0.2786,0.3675,135,420,14,0.3571,0.3128,0.4041,150,420,14,0.3452,0.3014,0.3919,145,420,14,0.4476,0.4008,0.4954,188,420,14,0.4062,0.3854,0.4273,853,2100
"curlbash",0.4333,0.3868,0.4811,182,420,14,0.3690,0.3243,0.4162,155,420,14,0.3881,0.3427,0.4355,163,420,14,0.4238,0.3774,0.4716,178,420,14,0.4357,0.3891,0.4835,183,420,14,0.4100,0.3891,0.4312,861,2100
"cryptoad",0.5810,0.5332,0.6272,244,420,14,0.5000,0.4524,0.5476,210,420,14,0.5095,0.4618,0.5570,214,420,14,0.5024,0.4548,0.5500,211,420,14,0.5238,0.4760,0.5711,220,420,14,0.5233,0.5019,0.5446,1099,2100
"fewtokens",0.6548,0.6081,0.6986,275,420,14,0.5833,0.5356,0.6295,245,420,14,0.5905,0.5428,0.6365,248,420,14,0.5881,0.5404,0.6342,247,420,14,0.5905,0.5428,0.6365,248,420,14,0.6014,0.5803,0.6222,1263,2100
